iter	Passed	Remaining
0	1	162
1	3	164
2	5	163
3	6	156
4	8	154
5	9	154
6	11	149
7	12	147
8	14	149
9	16	149
10	18	148
11	20	147
12	21	145
13	23	144
14	25	142
15	26	140
16	28	139
17	30	138
18	32	137
19	33	135
20	35	134
21	37	133
22	39	133
23	41	132
24	43	131
25	45	129
26	47	128
27	49	127
28	51	125
29	52	123
30	54	120
31	56	119
32	58	117
33	59	115
34	60	113
35	62	111
36	64	109
37	65	107
38	67	105
39	69	104
40	71	102
41	71	98
42	73	97
43	74	94
44	76	92
45	77	91
46	79	89
47	80	87
48	81	85
49	83	83
50	84	81
51	86	79
52	87	77
53	88	75
54	89	73
55	91	71
56	92	69
57	93	67
58	94	65
59	96	64
60	97	62
61	98	60
62	99	58
63	101	56
64	102	54
65	103	53
66	104	51
67	105	49
68	106	47
69	107	46
70	108	44
71	109	42
72	110	40
73	111	39
74	112	37
75	113	35
76	114	34
77	115	32
78	116	31
79	117	29
80	118	27
81	119	26
82	120	24
83	121	23
84	122	21
85	123	20
86	124	18
87	125	17
88	126	15
89	127	14
90	128	12
91	129	11
92	130	9
93	131	8
94	132	6
95	133	5
96	134	4
97	135	2
98	136	1
99	136	0
